Player,Pos,Age,Team,Games,Gms_started,MinPerG,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,Intercept,mvp score
Jrue Holiday\holidjr01,PG,31,MIL,22,21,32.2,6.4,13.8,0.464,1.7,4.8,0.358,4.7,9,0.52,0.526,1.2,1.7,0.711,0.8,3.9,4.6,6.1,1.3,0.5,2.7,2.1,15.8,16.6,0.541,0.349,0.125,2.6,12.2,7.5,29.8,2,1.7,15.5,23,0.8,0.9,1.7,0.113,0.6,0,0.6,0.5,1,
Justin Holiday\holidju01,SF,32,IND,23,15,28.1,3.6,9,0.398,2.4,6.7,0.357,1.2,2.3,0.519,0.532,0.3,0.5,0.727,0.3,2.6,2.8,1.7,0.5,0.3,0.9,2.1,9.9,9.1,0.538,0.748,0.053,1,9.9,5.5,8.2,0.9,0.9,9.1,15.6,0.3,0.4,0.7,0.054,-1.2,-0.8,-2,0,1,
Richaun Holmes\holmeri01,C,28,SAC,22,22,27.1,5.9,8.4,0.707,0.1,0.2,0.5,5.8,8.2,0.711,0.712,2.1,2.6,0.807,2.7,6.6,9.3,1.4,0.3,1,1.4,3,14,22.8,0.737,0.022,0.31,10.4,25.8,18.1,8,0.5,3,12.9,17,2.2,0.5,2.7,0.217,2.6,-0.6,2,0.6,1,
Rodney Hood\hoodro01,SF,29,MIL,21,0,15,1.1,3.2,0.353,0.6,2,0.302,0.5,1.2,0.44,0.449,0.6,0.6,1,0.4,1.6,2,0.8,0.3,0,0.1,0.9,3.5,8.2,0.498,0.632,0.176,2.7,10.7,6.8,7.1,1.1,0.3,2.7,10.2,0.3,0.3,0.6,0.087,-2.1,-0.6,-2.8,-0.1,1,
Al Horford\horfoal01,C,35,BOS,23,23,29.4,4.5,9.9,0.454,1.3,4.3,0.29,3.2,5.5,0.583,0.518,2.1,2.4,0.857,1.5,6.4,8,3.5,0.8,1.6,1.1,2.2,12.3,19,0.562,0.441,0.247,5.5,23.6,14.5,18.5,1.3,5,9,17.9,1.4,1,2.5,0.175,2.2,2,4.2,1.1,1,
Dwight Howard\howardw01,C,36,LAL,25,3,15.1,1.8,2.9,0.625,0.2,0.3,0.75,1.6,2.6,0.609,0.667,1.1,1.8,0.609,1.6,3.8,5.4,0.5,0.8,0.7,0.9,1.8,5,17.1,0.672,0.111,0.639,11.2,25.8,18.7,4.3,2.6,4.1,20,13,0.6,0.7,1.3,0.171,-0.9,1.1,0.2,0.2,1,
Kevin Huerter\huertke01,SG,23,ATL,25,15,27.2,4.4,9,0.484,1.9,4.6,0.412,2.5,4.4,0.559,0.589,0.4,0.5,0.846,0.3,3,3.4,2.4,0.4,0.2,1.4,1.8,11,12.3,0.598,0.507,0.058,1.3,11.7,6.6,12.8,0.7,0.8,12.8,16.9,0.8,0.2,1,0.071,-0.3,-1,-1.3,0.1,1,
Joe Ingles\inglejo01,SF,34,UTA,26,5,24.5,2.8,6.2,0.456,2,4.9,0.409,0.8,1.3,0.636,0.619,0.4,0.5,0.769,0.5,2.6,3,3.4,0.5,0.1,1,1.6,8,13,0.628,0.794,0.081,2.2,10.9,6.8,18.6,1,0.4,14,13.1,1.4,0.6,2,0.152,1.6,0.2,1.8,0.6,1,
Brandon Ingram\ingrabr01,SF,24,NOP,22,22,35.2,8.5,19.1,0.447,1.8,5,0.358,6.8,14.2,0.478,0.493,4,4.8,0.84,0.8,5.4,6.2,4.9,0.5,0.4,3,2.2,22.9,17.5,0.539,0.259,0.252,2.4,17,9.5,25,0.8,1.1,12.2,29.3,0.8,0.3,1.1,0.066,2.1,-1.6,0.5,0.5,1,
Frank Jackson\jacksfr01,PG,23,DET,26,2,22,3.5,8.8,0.402,1.9,5.6,0.336,1.7,3.2,0.518,0.509,1.3,1.6,0.833,0.2,1.1,1.3,0.8,0.5,0.2,0.9,1.5,10.3,10.5,0.541,0.638,0.183,1.1,5.9,3.3,6.6,1.1,0.9,8.8,20.4,0.1,0.2,0.3,0.027,-1.9,-1.6,-3.5,-0.2,1,
