Player,Pos,Age,Team,Games,Gms_started,MinPerG,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,Intercept,
Nicolas Batum\batumni01,SF,32,LAC,61,38,28,2.8,6.2,0.456,1.7,4.1,0.408,1.2,2.1,0.55,0.591,0.8,0.9,0.852,0.8,4,4.8,2.3,1,0.5,0.8,1.6,8.1,12.7,0.613,0.66,0.142,3.2,15.7,9.6,10.6,1.9,1.7,11.2,11.8,2.4,2,4.5,0.126,0.3,0.8,1.1,1.3,1,
Aron Baynes\baynear01,C,34,TOR,50,31,18.2,2.4,5.6,0.431,0.4,1.9,0.237,2,3.8,0.527,0.47,0.5,0.7,0.73,1.7,3.4,5.1,0.9,0.3,0.4,0.9,2.3,5.8,9.8,0.489,0.331,0.132,9.7,21.3,15.3,6.8,0.8,2.2,12.6,16.1,-0.1,0.9,0.8,0.042,-3.8,-1.5,-5.2,-0.8,1,
Kent Bazemore\bazemke01,SF,31,GSW,59,10,18.5,2.4,5.5,0.441,1.1,2.6,0.421,1.3,2.9,0.459,0.54,0.8,1.2,0.681,0.4,2.9,3.3,1.6,1,0.5,1.2,2.3,6.7,11,0.56,0.469,0.213,2.4,16.3,9.4,12,2.6,2.4,16.5,16.6,-0.2,1.7,1.5,0.065,-2.8,1.4,-1.4,0.2,1,
Darius Bazley\bazleda01,PF,20,OKC,49,49,31.2,5,12.3,0.407,1.5,5.1,0.289,3.5,7.2,0.49,0.467,2,2.9,0.683,0.9,6.5,7.4,1.7,0.5,0.5,2.2,1.2,13.4,9.7,0.496,0.414,0.236,3,21.7,12.3,8.3,0.8,1.4,13.8,21.4,-1.9,1.3,-0.6,-0.019,-3.1,-1.2,-4.3,-0.9,1,
Bradley Beal\bealbr01,SG,27,WAS,55,55,35.5,11,22.8,0.484,2.2,6.2,0.347,8.9,16.6,0.536,0.531,6.8,7.5,0.901,1.2,3.5,4.7,4.5,1.2,0.3,3.2,2.4,31,22.9,0.594,0.274,0.331,3.5,10.5,7,22,1.5,0.8,10.9,34.3,3.9,1.5,5.5,0.134,5,-1.6,3.3,2.6,1,
Malik Beasley\beaslma01,SG,24,MIN,37,36,32.8,7.1,16.2,0.44,3.5,8.7,0.399,3.7,7.5,0.487,0.547,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,14.7,0.57,0.535,0.133,2.4,12.4,7.2,11.7,1.2,0.5,8.6,24,0.9,0.4,1.3,0.051,1.7,-2.3,-0.6,0.4,1,
Jordan Bell\belljo01,C,26,WAS,5,1,13.4,1.4,4,0.35,0,0.4,0,1.4,3.6,0.389,0.35,0,0,,1.2,2.6,3.8,1,0.6,0.6,0.6,1,2.8,8.6,0.35,0.1,0,9.5,20.5,15.1,9.6,2.1,3.8,13,14.3,-0.1,0.1,0,-0.004,-4.7,-0.8,-5.5,-0.1,1,
DeAndre' Bembry\bembrde01,SF,26,TOR,44,11,17.6,2,3.8,0.53,0.2,0.8,0.265,1.8,3,0.597,0.557,0.8,1.2,0.685,0.6,2.1,2.7,1.9,0.8,0.3,1.3,1.5,5.1,10.8,0.584,0.202,0.321,3.6,13.4,8.3,15.1,2.3,1.9,23.2,14,0.1,0.8,0.9,0.059,-3.2,0.8,-2.4,-0.1,1,
Dāvis Bertāns\bertada01,PF,28,WAS,49,5,24.9,3.3,8.1,0.403,2.9,7.3,0.399,0.3,0.8,0.436,0.583,1.7,1.9,0.884,0.3,2.7,3,0.8,0.6,0.3,0.6,2.4,11.2,11.8,0.623,0.902,0.239,1.5,11.3,6.4,4.5,1.1,0.9,5.8,15.9,1.9,0.9,2.7,0.107,0.7,-1.3,-0.6,0.4,1,
Patrick Beverley\beverpa01,PG,32,LAC,31,31,23.4,2.6,6.1,0.432,1.7,4,0.416,1,2.1,0.462,0.568,1.1,1.3,0.805,0.9,2.7,3.6,2.1,0.8,0.8,0.9,3.1,8,12.8,0.598,0.658,0.216,4.3,12.7,8.6,11.8,1.8,2.9,11.5,14.3,1.1,0.9,2,0.134,-0.3,0.9,0.6,0.5,1,
Saddiq Bey\beysa01,SF,21,DET,62,45,26.2,3.7,9.3,0.403,2.4,6.3,0.38,1.4,3,0.449,0.531,1.7,2,0.857,0.6,3.7,4.3,1.3,0.8,0.2,0.8,1.5,11.6,12.6,0.57,0.675,0.219,2.4,16.1,9.2,7.7,1.4,0.6,7.3,18.3,1.5,1.4,2.9,0.086,0.3,-0.9,-0.6,0.6,1,
Tyler Bey\beyty01,SF,22,DAL,12,0,3.9,0.5,1.4,0.353,0.1,0.3,0.333,0.4,1.2,0.357,0.382,0.3,0.4,0.6,0.4,0.7,1.1,0.1,0,0.1,0.1,0.4,1.3,8.6,0.417,0.176,0.294,11.8,18.5,15.2,2.9,0,2,5,19,0,0,0,0.009,-4.4,-3.5,-7.9,-0.1,1,
Khem Birch\birchkh01,C,28,TOT,60,15,21.7,2.5,5,0.492,0.2,0.6,0.27,2.3,4.4,0.523,0.508,1.3,1.9,0.696,2.6,3,5.6,1.2,0.7,0.7,0.6,1.6,6.4,15.1,0.548,0.123,0.372,12.2,15.2,13.7,8.3,1.6,3.1,8.8,12.8,2.1,1.3,3.4,0.125,-1,-0.3,-1.3,0.2,1,
Khem Birch\birchkh01,C,28,ORL,48,5,19.8,2,4.4,0.45,0.1,0.4,0.19,1.9,3.9,0.479,0.459,1.3,1.8,0.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3,14.1,0.517,0.1,0.407,12.4,14.3,13.3,8,1.6,2.7,8.5,12.2,1.3,0.9,2.2,0.111,-1.6,-0.6,-2.2,0,1,
Khem Birch\birchkh01,C,28,TOR,12,10,28.9,4.5,7.7,0.587,0.5,1.3,0.375,4,6.3,0.632,0.62,1.3,2.3,0.556,3.2,4.5,7.7,1.8,0.9,1.2,0.9,2.2,10.8,17.8,0.621,0.174,0.293,11.7,17.7,14.6,9,1.5,4,9.6,14.3,0.8,0.4,1.2,0.163,0.8,0.4,1.2,0.3,1,
Goga Bitadze\bitadgo01,C,21,IND,37,2,11.3,1.9,4.1,0.458,0.4,1.5,0.268,1.5,2.6,0.567,0.507,0.9,1.2,0.756,1.3,1.9,3.2,0.7,0.2,1.2,0.4,1.9,5.1,18.1,0.547,0.366,0.294,12.5,18.3,15.4,8.7,0.9,9,8.5,19.2,0.6,0.6,1.3,0.145,-1.3,1.1,-0.2,0.2,1,
Bismack Biyombo\biyombi01,C,28,CHO,58,30,20.7,2.2,3.7,0.583,0,0,0,2.2,3.7,0.586,0.583,0.8,1.7,0.446,2.1,3.2,5.3,1.3,0.3,1.1,1,2.1,5.1,12,0.57,0.005,0.468,10.9,17,13.9,8.4,0.7,5.5,18.5,11.5,0.9,1.2,2.2,0.086,-3,-0.1,-3.1,-0.3,1,
Nemanja Bjelica\bjeline01,PF,32,TOT,35,1,15.3,2.2,5,0.446,0.6,2.1,0.27,1.7,2.9,0.574,0.503,1,1.3,0.723,0.7,2.6,3.3,1.7,0.3,0.1,0.9,1.8,6,11.5,0.537,0.423,0.269,5.1,19.4,12.2,15.1,1,0.7,13.7,18.3,0.3,0.2,0.5,0.042,-2.2,-1.4,-3.6,-0.2,1,
Nemanja Bjelica\bjeline01,PF,32,SAC,26,1,16.9,2.7,5.8,0.46,0.7,2.2,0.293,2,3.5,0.565,0.517,1.2,1.6,0.762,0.9,2.9,3.8,1.9,0.3,0.1,1.1,1.8,7.2,12.8,0.555,0.387,0.28,6,19.7,12.7,15.3,0.9,0.4,14.3,19.3,0.4,0.1,0.4,0.046,-1.3,-1.7,-3,-0.1,1,
Nemanja Bjelica\bjeline01,PF,32,MIA,9,0,10.9,1,2.8,0.36,0.3,1.8,0.188,0.7,1,0.667,0.42,0.2,0.6,0.4,0.1,1.8,1.9,1.1,0.3,0.2,0.3,1.8,2.6,5.9,0.423,0.64,0.2,1.2,18.2,9.8,14.4,1.5,2.1,9.9,13.9,-0.1,0.1,0,0.021,-6.6,-0.1,-6.7,-0.1,1,
Eric Bledsoe\bledser01,SG,31,NOP,63,62,29.8,4.2,10.1,0.416,1.8,5.1,0.346,2.4,5,0.489,0.504,1.8,2.5,0.706,0.4,3,3.4,3.7,0.8,0.3,1.6,1.6,11.9,11.2,0.534,0.506,0.252,1.5,10.8,6.2,16.5,1.2,1,12.5,18.1,1,1,2,0.05,-1.2,-1.5,-2.7,-0.3,1,
Keljin Blevins\blevike01,SF,25,POR,13,0,4.8,0.3,1.4,0.222,0.2,0.5,0.286,0.2,0.8,0.182,0.278,0,0,,0.2,0.3,0.5,0.3,0.2,0,0.2,0.5,0.8,-0.9,0.278,0.389,0,3.3,7,5.1,8.1,1.5,0,14.3,14.3,-0.2,0,-0.2,-0.133,-8.9,-3,-11.9,-0.2,1,
Bogdan Bogdanović\bogdabo01,SG,28,ATL,38,21,29.2,5.7,12.5,0.455,3,7.2,0.416,2.7,5.3,0.507,0.575,0.9,1,0.892,0.5,3.3,3.8,3.3,1,0.3,1.3,2.2,15.2,15.9,0.589,0.577,0.078,1.8,12.3,7.1,17.6,1.6,0.8,9.1,21.2,1.8,0.8,2.6,0.113,2.3,0.1,2.4,1.2,1,
Bojan Bogdanović\bogdabo02,SF,31,UTA,64,64,30.6,5.3,12.3,0.425,2.5,6.4,0.384,2.8,5.9,0.47,0.525,3.1,3.5,0.877,0.5,3.3,3.8,1.9,0.6,0.1,1.6,1.6,16.1,13.3,0.578,0.52,0.287,1.9,10.9,6.6,9.1,0.9,0.2,10.3,21.9,2.3,2.1,4.4,0.107,-0.2,-0.9,-1,0.5,1,
Bol Bol\bolbo01,PF,21,DEN,28,2,4.7,0.9,1.7,0.511,0.3,0.7,0.45,0.5,1,0.556,0.606,0.3,0.5,0.643,0,0.7,0.7,0.3,0.1,0.4,0.5,0.5,2.4,13.4,0.621,0.426,0.298,0,16.4,8.2,7.5,1.1,7.4,19.6,22.1,-0.1,0.2,0.1,0.044,-1.8,0.6,-1.2,0,1,
Marques Bolden\boldema01,C,22,CLE,6,0,4.8,0.2,0.5,0.333,0,0,,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1,0,0.3,0.3,0.3,0,1.2,13.3,0.537,0,2.667,11.4,11.9,11.6,0,3.4,6.2,23.5,12.8,0,0,0,0.066,-3.4,0.6,-2.8,0,1,
